Question Number,Question,Option A,Option B,Option C,Option D,Correct Option,correct_ans_longest,llama_option_a,llama_option_b,llama_option_c,llama_option_d
21,Why do planets orbit the sun in elliptical paths?,Planets bounce off other orbits.,Space-time twists all straight lines.,Solar flares push planets in loops.,Gravity and inertia interact to curve their motion.,D,True,Planets follow curved paths due to the combined forces of gravity and inertia.,The sun's gravitational pull causes planets to follow elliptical orbits.,,"Magnetic fields within the planets direct their motion, resulting in eccentric paths."
35,Why do astronauts wear pressurized suits in space?,To protect against vacuum and radiation.,To improve vision in darkness.,To absorb solar power.,To help them float evenly.,A,True,<revised> To shield themselves from harmful cosmic rays and extreme temperatures.,<revised> To enhance their sense of balance and movement in weightlessness.,,<revised> To conserve energy by reducing the need for manual movements in the microgravity environment.
40,Why do magnets attract iron?,Iron atoms align with magnetic fields.,Iron holds magnetic water.,Magnets contain iron inside.,Iron repels gravity.,A,True,Iron atoms become temporarily magnetized when exposed to magnetic fields.,"Magnets cause iron molecules to vibrate, creating a weak attraction.",,Iron objects have a subtle magnetic charge that magnets can detect.
64,Why is a rainbow curved?,Rain falls in circular motion.,Light bends and reflects in water droplets.,Wind shapes the sunlight.,Clouds push colors into arcs.,B,True,"Rain falls in a continuous, rather than circular, motion.","Light bends and reflects off of tiny particles in the air, rather than water droplets.",,"Clouds compress and distort sunlight, creating an arc shape."
65,Why do we yawn when tired?,To block out noise.,To lower heart rate.,To warm the throat.,To increase oxygen to the brain.,D,True,To relieve stress and anxiety.,To regulate body temperature.,,To improve digestion and gut health.
67,Why does a compass point north?,It is pulled by the sun.,It aligns with Earth’s magnetic field.,It detects sound waves.,It tracks ocean currents.,B,True,It is attracted by a mysterious force that only compasses can sense.,"It has a special connection to the Earth's energy field, allowing it to point towards the north pole.",,It uses some kind of ancient knowledge to detect changes in the Earth's magnetic field and align itself with the north.
76,Why is touch important for humans?,It helps detect pressure and temperature.,It keeps bones flexible.,It spreads body heat.,It directs muscle growth.,A,True,It helps regulate our sense of touch and allows us to feel objects and textures around us.,It plays a crucial role in our ability to move and manipulate objects with precision.,,It helps maintain proper body posture and alignment.
77,Why is glass transparent?,It traps only red light.,It lacks a reflective surface.,Light passes through its uniform structure.,Its molecules are cold.,C,True,It absorbs all colors except red.,Its surface is too smooth for light to reflect.,,Its molecules are too small for light to interact with.
79,Why do onions make people cry?,They cool the face rapidly.,Their texture is sharp.,Their color is too bright.,They release a gas that irritates eyes.,D,True,They contain a chemical that irritates the eyes.,Their strong smell can cause eye watering.,,The way they're cut or chopped can release a gas that bothers the eyes.
81,Why do we stretch before exercising?,To slow down heart rate.,To build muscle mass.,To reduce injury and improve flexibility.,To increase body temperature.,C,True,To improve overall physical fitness and endurance.,To enhance mental focus and concentration.,,To increase metabolism and burn more calories.
82,Why does fog form in the early morning?,Wind spreads sea spray inland.,Trees release vapor at night.,Sunlight pulls water from soil.,Cool air condenses moisture near the ground.,D,True,Wind spreads sea mist inland.,Vegetation releases nocturnal humidity.,,Cool air condenses nearby moisture.
86,Why do birds fly in V formation?,It saves energy through air currents.,It avoids flying into wind.,It lets them fly faster.,It helps spot predators.,A,True,It conserves energy by reducing wind resistance.,It allows them to fly more efficiently in a smoother airflow.,,It provides better visibility of potential threats.
89,Why is iron important in the diet?,It lowers body heat.,It helps carry oxygen in blood.,It helps digest fat.,It keeps bones hard.,B,True,"Iron helps regulate body temperature, but it does not lower body heat.","While iron does help carry oxygen in the blood, it is not the only nutrient that plays this role.",,"Iron is important for maintaining healthy bones, but it does not keep them hard per se."
91,Why is photosynthesis important for the environment?,It colors fruits and flowers.,It cools plant leaves.,It produces oxygen and absorbs carbon dioxide.,It keeps soil moist.,C,True,It enriches soil with essential nutrients.,It maintains optimal plant growth and development.,,It supports a diverse range of wildlife habitats.
92,Why do camels store fat in their humps?,To balance their body weight.,To store water directly.,For energy during long periods without food.,To protect them from sunburn.,C,True,To provide additional insulation against the desert heat.,As a reserve of energy for long journeys without food.,,To help regulate their body temperature in extreme temperatures.
93,Why is the heart divided into four chambers?,To cool blood evenly.,To slow down the heartbeat.,To separate oxygenated and deoxygenated blood.,To remove carbon dioxide directly.,C,True,To regulate blood pressure.,To filter waste products from the blood.,,To maintain a stable body temperature.
95,Why does bread turn brown when toasted?,Air reacts with flour.,Steam turns it darker.,Heat causes a chemical reaction with sugars.,The crust absorbs moisture.,C,True,"Air reacts with the oils in the dough, causing it to turn brown.","The heat causes the sugars in the dough to caramelize, creating a darker color.",,"The moisture in the bread evaporates, leaving behind a darker, more toasted flavor."
99,Why is the moon sometimes visible during the day?,Its orbit allows sunlight to reflect toward Earth.,It appears closer in summer.,It glows from heat.,It absorbs morning light.,A,True,"Its orbit allows sunlight to reflect toward Earth, but only when the moon is in a specific position relative to the Sun and Earth.","The moon sometimes appears brighter during the day due to atmospheric conditions, but it does not actually become visible.",,"It absorbs morning light, but only if the sky is clear and there are no other bright objects in view."
102,Why do metals shine when polished?,Polishing removes all atoms.,They reflect light well due to free electrons.,They are naturally white.,They absorb less heat.,B,True,"Polishing removes impurities, not all atoms.",They reflect light well due to their shiny surface finish.,,They absorb less heat because they are good conductors.
112,Why do we use seatbelts in cars?,To prevent motion sickness.,To avoid engine noise.,To keep the car moving.,To reduce injury during sudden stops.,D,True,To prevent dizziness from the car's movement.,To minimize distractions from the car's interior noise.,,To reduce the risk of being thrown from the car during sudden stops.
116,Why are earthquakes more common along fault lines?,Tectonic plates shift at those edges.,Ocean waves press inland.,Wind pressure cracks rocks.,Mountains block vibrations.,A,True,"Tectonic plates shift and collide along fault lines, causing earthquakes.",The constant movement of tectonic plates creates pressure points that can lead to earthquakes.,,The buildup of stress over time causes earthquakes along fault lines.
120,Why does metal feel hot in sunlight?,It expands into the air.,It holds onto wind.,Its color attracts fire.,It absorbs and conducts heat quickly.,D,True,It reflects sunlight and becomes warm.,It absorbs moisture from the air and feels hot.,,Its molecular structure causes it to retain heat.
122,Why does paper burn when heated?,"Heat breaks chemical bonds, releasing energy.",Air thickens around it.,Paper attracts fire naturally.,The fibers shrink rapidly.,A,True,"Paper burns because the heat causes the molecules to vibrate more rapidly, eventually breaking apart and release energy in the form of flames. (Previous answer: Heat breaks chemical bonds, releasing energy.)","Paper burns because it absorbs moisture from the air, which increases its conductivity and allows the heat to penetrate more evenly. (Previous answer: Air thickens around it.)",,"Paper burns because the cellulose fibers in the paper undergo a chemical change when heated, causing them to shrink and release their moisture content more quickly. (Previous answer: The fibers shrink rapidly.)"
129,Why are parachutes wide and light?,To bounce on landing.,To attract search teams.,To fly longer distances.,To slow descent by increasing air resistance.,D,True,"To slow descent by increasing air resistance, but not enough to stop it completely.",To attract search teams with a bright and colorful design.,,"To make the parachute more visible from a distance, but not to bounce on landing."
132,Why is a router used in a computer network?,To forward data between different networks.,To power wireless devices.,To store backup data.,To format hard drives.,A,True,To route data between different devices.,To boost wireless signals.,,To set up network configurations.
135,Why is overfitting a problem in machine learning?,It improves training accuracy only.,The model memorizes training data but performs poorly on new data.,The model becomes too fast.,The data splits unevenly.,B,True,The model becomes too complex and starts to memorize the training data instead of learning generalizable patterns.,"The model is overly specialized to the training data and fails to generalize well to new, unseen data.",,"The model is trained for too long, leading to overfitting and a lack of generalization ability."
136,Why is DNS used in networking?,It blocks malware infections.,It filters email spam.,It translates domain names into IP addresses.,It charges users for access.,C,True,It protects against phishing attacks by blocking suspicious domain names.,It filters out unwanted ads and pop-ups.,,It provides a paid service for faster DNS lookups.
137,Why is GPU acceleration used in deep learning?,It normalizes input features.,It processes large matrix computations faster.,It stores the training logs.,It controls the learning rate.,B,True,It standardizes input data to improve model performance.,It accelerates matrix computations for faster training times.,,It optimizes learning rates for better model performance.
138,Why is ReLU a common activation function?,It reduces the number of layers.,It filters input noise.,It introduces non-linearity and is simple to compute.,It replaces backpropagation.,C,True,It helps prevent the vanishing gradient problem.,It provides a more stable training process.,,It is less computationally expensive than other activation functions.
139,Why is subnetting useful in network design?,It adds more IP addresses.,It divides large networks into manageable parts.,It speeds up wireless signals.,It encrypts local data.,B,True,"It helps to reduce network congestion and improve performance by creating smaller, more manageable networks within a larger one. (This option is longer than the correct answer but still concise and similar in tone.)","It allows for better organization and segmentation of network resources, making it easier to manage and troubleshoot issues. (This option is also longer than the correct answer but still plausible and similar in tone.)",,It provides an additional layer of security by creating separate networks for sensitive data and applications. (This option is shorter than the correct answer but still plausible and similar in tone.)
140,Why do we use dropout in neural networks?,To prevent overfitting by randomly ignoring neurons.,To double the batch size.,To delete data during training.,To increase training accuracy instantly.,A,True,,To improve generalization by randomly dropping out neurons.,,To reduce the risk of overfitting by discarding some neurons.
141,Why is data augmentation used in training image models?,It makes models faster by reducing images.,It replaces preprocessing steps.,It increases dataset diversity for better generalization.,It skips the need for test data.,C,True,It improves model performance by providing more diverse training data.,It enhances the model's ability to handle different image styles and lighting conditions.,,"It expands the dataset size, allowing the model to learn from a wider range of images."
142,Why are VLANs used in networking?,To segment networks logically for security and efficiency.,To encrypt all data transmissions.,To block wireless devices.,To increase the cable length.,A,True,To improve network performance and organization.,To provide an additional layer of security.,,To support a specific type of network topology.
145,Why are container technologies like Docker popular?,They compile code automatically.,They limit code execution.,They increase bandwidth speed.,They isolate environments and simplify deployment.,D,True,"They provide an easy-to-use platform for developers to build, test, and deploy applications.",They ensure that code is executed efficiently and securely.,,They offer a flexible and scalable solution for managing complex software environments.
147,Why is UDP preferred in streaming applications?,It offers low latency by not requiring acknowledgment.,It resends lost packets quickly.,It always guarantees delivery.,It encrypts data automatically.,A,True,It offers low latency by not requiring acknowledgment. (Revised to: A. It provides fast data transfer without waiting for confirmation.),It resends lost packets quickly. (Revised to: B. It immediately sends missing packets to maintain smooth playback.),,It encrypts data automatically. (Revised to: D. It secures media content with built-in encryption for added security.)
148,Why is K-means not ideal for non-spherical data?,It trains with backpropagation.,It assumes clusters are round and equal in size.,It uses trees for classification.,It requires labeled data.,B,True,It trains with a fixed algorithm and doesn't adapt to the data.,"It assumes clusters are uniform and of equal density, which may not be true for non-spherical data.",,It requires too much prior knowledge about the number of clusters.
149,Why do firewalls improve network security?,They monitor and block unauthorized traffic.,They boost signal strength.,They extend wireless range.,They store user credentials.,A,True,They block malicious traffic and unauthorized access to internal networks.,They improve network performance by reducing interference from other devices.,,They store user authentication information for easy access.
150,Why is one-hot encoding used in preprocessing?,It removes missing values.,It converts categorical data into binary features.,It filters out high variance features.,It scales numbers between 0 and 1.,B,True,It transforms categorical data into numerical features. (Revised to be longer and more specific),It converts categorical variables into binary features. (Revised to be more concise and consistent with the correct answer),,"It normalizes numbers to a common range. (Revised to be more specific and plausible, but not correct)"
