Question Number,Question,Option A,Option B,Option C,Option D,Correct Option,correct_ans_longest
1,Why does sweating cool the human body?,Sweat lubricates the skin cells.,Sweat removes body toxins.,Evaporation removes heat from skin.,Sweat reduces body blood pressure.,C,False
2,Why is crop rotation used in farming?,To increase daylight exposure.,To eliminate insect pests.,To attract more rainfall.,To maintain soil nutrients.,D,False
3,Why is it warmer in summer than winter?,Atmosphere traps more heat in winter.,Days are longer with direct sunlight.,Earth's rotation is slower in summer.,The sun is closer in summer months.,B,False
4,Why do birds migrate seasonally?,To escape predators entirely.,To avoid becoming nocturnal.,To follow ocean currents.,To find better nesting sites.,D,False
5,Why does bread dough rise with yeast?,Yeast releases oxygen bubbles.,Yeast strengthens flour fibers.,"Yeast ferments, producing gas.",Yeast causes flour expansion.,C,False
6,Why is fiber important in a diet?,It provides rapid energy.,It builds muscle directly.,It supports digestive health.,It lowers body temperature.,C,False
7,Why are bees important to agriculture?,They prevent plant diseases entirely.,They fertilize crops through pollination.,They scare away harmful birds.,They increase water absorption.,B,False
8,Why do shadows change during the day?,Shadows shrink as objects heat up.,"Earth rotates, changing sun angles.",Clouds reflect light differently.,Atmosphere blocks sunlight periodically.,B,False
9,Why do bridges often have gaps?,Gaps improve visual design.,Gaps let rainwater escape easily.,Gaps allow for thermal expansion.,Gaps reduce overall weight.,C,False
10,Why do we refrigerate perishable foods?,Refrigeration adds nutritional value.,Cold slows bacterial growth.,Refrigeration eliminates odors.,Cold air enhances food flavor.,B,False
11,Why do leaves change color in autumn?,Trees lose water through leaves.,Soil acidity increases rapidly.,Wind removes green pigment.,Less sunlight reduces chlorophyll.,D,False
12,Why do volcanoes form at tectonic boundaries?,Ocean tides crack crust.,Plates force magma upward.,The sun heats the ground.,Air pressure builds underground.,B,False
13,Why does lightning happen before thunder is heard?,Light travels faster than sound.,Lightning generates no sound.,Thunder bounces off clouds.,Wind carries sound more slowly.,A,False
14,Why are coral reefs in danger?,Rising temperatures bleach corals.,Coral stops growing at night.,Moonlight affects reproduction.,Waves hit them too often.,A,False
15,Why is the ozone layer important?,It prevents global rainfall.,It controls ocean tides.,It reflects visible light.,It blocks harmful UV radiation.,D,False
16,Why are wetlands valuable ecosystems?,They attract cold weather birds.,They neutralize ocean salt.,They filter water and prevent floods.,They reduce mountain erosion.,C,False
17,Why are antibiotics ineffective against viruses?,Antibiotics work on fungi only.,Viruses are too small.,Viruses don’t have cellular structures.,Antibiotics miss viral cells.,C,False
18,Why do astronauts exercise in space?,To avoid food allergies.,To rotate the spacecraft manually.,To maintain bone and muscle mass.,To stay warm in orbit.,C,False
19,Why does oil float on water?,Water has magnetic properties.,Oil repels oxygen.,Water attracts oil molecules.,Oil has lower density.,D,False
20,Why do mirrors reverse left and right but not up and down?,Light reverses in the vertical plane.,Mirror glass is polarized vertically.,Eyes rotate slightly when viewing mirrors.,We interpret reflections relative to ourselves.,D,False
21,Why do planets orbit the sun in elliptical paths?,Planets bounce off other orbits.,Space-time twists all straight lines.,Solar flares push planets in loops.,Gravity and inertia interact to curve their motion.,D,True
22,Why is wind formed in the atmosphere?,Clouds release trapped gases.,Air moves from high to low pressure.,Stars heat upper air layers.,Earth's tilt draws in motion.,B,False
23,Why are vitamins essential for health?,They harden bones and nails directly.,They store excess body fat.,They cool the blood naturally.,They support bodily functions and immunity.,D,False
24,Why do some objects appear blue in sunlight?,They emit cold light rays.,They are cooler than red objects.,They reflect blue wavelengths.,They absorb all colors equally.,C,False
25,Why do bubbles rise in a liquid?,Liquids pull gas upward.,Water molecules push down faster.,Gases attract upward forces.,Gas is lighter than liquid.,D,False
26,Why is Earth not a perfect sphere?,Rotation causes equatorial bulge.,It grows more during summer.,The poles are denser.,Tides push out the crust.,A,False
27,Why do ears pop during altitude changes?,Sound echoes between valleys.,Pressure difference affects eardrums.,Oxygen thins near the ground.,Blood flow increases to the head.,B,False
28,Why does milk spoil faster in warm temperatures?,Proteins dissolve in sunlight.,Heat causes vitamins to multiply.,Bacteria grow more quickly.,Milk absorbs smells from the air.,C,False
29,Why does sound travel faster in water than air?,Water heats sound waves quickly.,Sound moves in waves above water.,Water particles are more tightly packed.,Air compresses sound molecules.,C,False
