Question Number,Question,Option A,Option B,Option C,Option D,Correct Option
1,Why does sweating cool the human body?,Sweat removes body toxins.,Sweat lubricates the skin cells.,Evaporation removes heat from skin.,Sweat reduces body blood pressure.,C
2,Why is crop rotation used in farming?,To maintain soil nutrients.,To attract more rainfall.,To eliminate insect pests.,To increase daylight exposure.,A
3,Why is it warmer in summer than winter?,The sun is closer in summer months.,Days are longer with direct sunlight.,Earth's rotation is slower in summer.,Atmosphere traps more heat in winter.,B
4,Why do birds migrate seasonally?,To follow ocean currents.,To find better nesting sites.,To escape predators entirely.,To avoid becoming nocturnal.,B
5,Why does bread dough rise with yeast?,Yeast releases oxygen bubbles.,Yeast strengthens flour fibers.,"Yeast ferments, producing gas.",Yeast causes flour expansion.,C
6,Why is fiber important in a diet?,It builds muscle directly.,It provides rapid energy.,It supports digestive health.,It lowers body temperature.,C
7,Why are bees important to agriculture?,They fertilize crops through pollination.,They prevent plant diseases entirely.,They scare away harmful birds.,They increase water absorption.,A
8,Why do shadows change during the day?,Clouds reflect light differently.,"Earth rotates, changing sun angles.",Shadows shrink as objects heat up.,Atmosphere blocks sunlight periodically.,B
9,Why do bridges often have gaps?,Gaps allow for thermal expansion.,Gaps improve visual design.,Gaps reduce overall weight.,Gaps let rainwater escape easily.,A
10,Why do we refrigerate perishable foods?,Refrigeration adds nutritional value.,Cold slows bacterial growth.,Refrigeration eliminates odors.,Cold air enhances food flavor.,B
11,Why do leaves change color in autumn?,Less sunlight reduces chlorophyll.,Trees lose water through leaves.,Soil acidity increases rapidly.,Wind removes green pigment.,A
12,Why do volcanoes form at tectonic boundaries?,Plates force magma upward.,The sun heats the ground.,Ocean tides crack crust.,Air pressure builds underground.,A
13,Why does lightning happen before thunder is heard?,Light travels faster than sound.,Thunder bounces off clouds.,Wind carries sound more slowly.,Lightning generates no sound.,A
14,Why are coral reefs in danger?,Rising temperatures bleach corals.,Waves hit them too often.,Coral stops growing at night.,Moonlight affects reproduction.,A
15,Why is the ozone layer important?,It blocks harmful UV radiation.,It prevents global rainfall.,It controls ocean tides.,It reflects visible light.,A
16,Why are wetlands valuable ecosystems?,They filter water and prevent floods.,They reduce mountain erosion.,They attract cold weather birds.,They neutralize ocean salt.,A
17,Why are antibiotics ineffective against viruses?,Viruses don’t have cellular structures.,Antibiotics miss viral cells.,Viruses are too small.,Antibiotics work on fungi only.,A
18,Why do astronauts exercise in space?,To maintain bone and muscle mass.,To stay warm in orbit.,To avoid food allergies.,To rotate the spacecraft manually.,A
19,Why does oil float on water?,Oil has lower density.,Water attracts oil molecules.,Oil repels oxygen.,Water has magnetic properties.,A
20,Why do mirrors reverse left and right but not up and down?,We interpret reflections relative to ourselves.,Light reverses in the vertical plane.,Eyes rotate slightly when viewing mirrors.,Mirror glass is polarized vertically.,A
21,Why do planets orbit the sun in elliptical paths?,Gravity and inertia interact to curve their motion.,Solar flares push planets in loops.,Space-time twists all straight lines.,Planets bounce off other orbits.,A
22,Why is wind formed in the atmosphere?,Air moves from high to low pressure.,Clouds release trapped gases.,Earth's tilt draws in motion.,Stars heat upper air layers.,A
23,Why are vitamins essential for health?,They support bodily functions and immunity.,They store excess body fat.,They harden bones and nails directly.,They cool the blood naturally.,A
24,Why do some objects appear blue in sunlight?,They reflect blue wavelengths.,They emit cold light rays.,They are cooler than red objects.,They absorb all colors equally.,A
25,Why do bubbles rise in a liquid?,Gas is lighter than liquid.,Water molecules push down faster.,Liquids pull gas upward.,Gases attract upward forces.,A
26,Why is Earth not a perfect sphere?,Rotation causes equatorial bulge.,It grows more during summer.,The poles are denser.,Tides push out the crust.,A
27,Why do ears pop during altitude changes?,Pressure difference affects eardrums.,Blood flow increases to the head.,Oxygen thins near the ground.,Sound echoes between valleys.,A
28,Why does milk spoil faster in warm temperatures?,Bacteria grow more quickly.,Proteins dissolve in sunlight.,Heat causes vitamins to multiply.,Milk absorbs smells from the air.,A
29,Why does sound travel faster in water than air?,Water particles are more tightly packed.,Sound moves in waves above water.,Air compresses sound molecules.,Water heats sound waves quickly.,A
30,Why is calcium important for the body?,It strengthens bones and teeth.,It cools muscles after exercise.,It replaces blood cells weekly.,It cleanses the digestive tract.,A
31,Why do deserts cool quickly after sunset?,Dry air retains little heat.,Sand reflects nighttime light.,Wind increases after dark.,Stars radiate cold energy.,A
32,Why is the sky blue during the day?,Air scatters blue light more than others.,Water vapor dyes the sky.,The sun emits blue rays at noon.,Clouds filter out warmer light.,A
33,Why is plastic a poor conductor of electricity?,It lacks free-moving electrons.,It blocks sunlight.,It is chemically unstable.,It shrinks under heat.,A
34,Why does metal feel colder than wood at room temperature?,Metal conducts heat away faster.,Wood traps colder air.,Metal reflects cold light.,Wood releases heat slowly.,A
35,Why do astronauts wear pressurized suits in space?,To protect against vacuum and radiation.,To improve vision in darkness.,To absorb solar power.,To help them float evenly.,A
36,Why is reading comprehension important?,It enables deeper understanding of content.,It speeds up word recognition only.,It replaces listening skills.,It simplifies grammar rules.,A
37,Why is biodiversity important for ecosystems?,It provides resilience to changes.,It lowers predator populations.,It speeds up plant growth.,It reduces carbon entirely.,A
38,Why is carbon dioxide a greenhouse gas?,It traps heat in Earth's atmosphere.,It cools land quickly.,It reflects all UV radiation.,It breaks down oxygen.,A
39,Why does salt melt ice on roads?,It lowers water's freezing point.,It absorbs solar heat faster.,It bonds ice to asphalt.,It makes air colder.,A
40,Why do magnets attract iron?,Iron atoms align with magnetic fields.,Iron repels gravity.,Magnets contain iron inside.,Iron holds magnetic water.,A
41,Why do airplanes leave trails in the sky?,Water vapor condenses in cold air.,The plane burns colored fuel.,Wings scratch the atmosphere.,Air reflects engine light.,A
42,Why does food cook faster in a pressure cooker?,Higher pressure raises boiling point.,Steam adds more flavor.,Water vibrates more quickly.,The pot spins heat inside.,A
